Date:  13:14, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 16   time : 83.9512 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
1  ,2.793e-02   ,2.5  ,2.1331  ,4.9
2  ,1.313e-02   ,2.4577  ,2.1908  ,4.9577
3  ,2.434e-02   ,2.4894  ,2.1331  ,4.9447
4  ,4.074e-02   ,2.1331  ,2.5  ,4.9
5  ,4.005e-02   ,2.1331  ,2.4894  ,4.9447
6  ,3.264e-02   ,2.1908  ,2.4577  ,4.9577
7  ,2.238e-01   ,-2.4  ,2.4  ,5
8  ,1.942e-01   ,-2.4  ,-2.4  ,5
9  ,9.443e-02   ,2.4  ,-2.4  ,5
10  ,2.712e-02   ,2.4  ,2.1331  ,5
11  ,4.058e-02   ,2.1331  ,2.4  ,5
12  ,9.445e-02   ,2.5  ,-2.4  ,4.9
13  ,1.934e-01   ,2.5  ,-2.4  ,0.1
14  ,2.238e-01   ,2.5  ,2.4  ,0.1
15  ,3.992e-02   ,2.5  ,2.4  ,4.6331
16  ,2.242e-01   ,2.4  ,2.5  ,0.1
17  ,2.003e-01   ,-2.4  ,2.5  ,0.1
18  ,2.241e-01   ,-2.4  ,2.5  ,4.9
19  ,3.963e-02   ,2.4  ,2.5  ,4.6331
20  ,2.014e-01   ,-2.5  ,2.4  ,0.1
21  ,2.701e-01   ,-2.5  ,-2.4  ,0.1
22  ,1.904e-01   ,-2.5  ,-2.4  ,4.9
23  ,2.250e-01   ,-2.5  ,2.4  ,4.9
24  ,2.701e-01   ,-2.3  ,-2.5  ,0.2
25  ,2.059e-01   ,-2.3  ,-2.5  ,4.8
26  ,9.434e-02   ,2.3  ,-2.5  ,4.8
27  ,2.051e-01   ,2.3  ,-2.5  ,0.2
28  ,1.961e-01   ,-2.4  ,-2.5  ,4.9
29  ,9.248e-02   ,2.4  ,-2.5  ,4.9
30  ,2.701e-01   ,-2.4  ,-2.5  ,0.1
31  ,1.953e-01   ,2.4  ,-2.5  ,0.1
32  ,1.897e-01   ,2.4  ,-2.4  ,0
33  ,2.252e-01   ,2.4  ,2.4  ,0
34  ,2.700e-01   ,-2.4  ,-2.4  ,0
35  ,2.014e-01   ,-2.4  ,2.4  ,0
36  ,3.236e-02   ,2.4577  ,2.4577  ,4.6908
37  ,2.202e-01   ,-2.3  ,2.3  ,4.8
38  ,2.627e-02   ,2.1599  ,2.3  ,4.8
39  ,2.799e-02   ,2.3  ,2.1599  ,4.8
40  ,2.641e-02   ,2.3  ,2.3  ,4.6599
41  ,2.198e-01   ,2.3  ,2.3  ,0.2
42  ,2.086e-01   ,-2.3  ,2.3  ,0.2
43  ,2.221e-01   ,-2.4  ,2.2  ,5
44  ,2.204e-01   ,-2.4  ,2  ,5
45  ,2.187e-01   ,-2.4  ,1.8  ,5
46  ,2.173e-01   ,-2.4  ,1.6  ,5
47  ,2.162e-01   ,-2.4  ,1.4  ,5
48  ,2.154e-01   ,-2.4  ,1.2  ,5
49  ,2.147e-01   ,-2.4  ,1  ,5
50  ,2.138e-01   ,-2.4  ,0.8  ,5
51  ,2.125e-01   ,-2.4  ,0.6  ,5
52  ,2.113e-01   ,-2.4  ,0.4  ,5
53  ,2.103e-01   ,-2.4  ,0.2  ,5
54  ,2.092e-01   ,-2.4  ,5.8879E-16  ,5
55  ,2.082e-01   ,-2.4  ,-0.2  ,5
56  ,2.070e-01   ,-2.4  ,-0.4  ,5
57  ,2.059e-01   ,-2.4  ,-0.6  ,5
58  ,2.048e-01   ,-2.4  ,-0.8  ,5
59  ,2.040e-01   ,-2.4  ,-1  ,5
60  ,2.029e-01   ,-2.4  ,-1.2  ,5
61  ,2.019e-01   ,-2.4  ,-1.4  ,5
62  ,2.005e-01   ,-2.4  ,-1.6  ,5
63  ,1.988e-01   ,-2.4  ,-1.8  ,5
64  ,1.973e-01   ,-2.4  ,-2  ,5
65  ,1.954e-01   ,-2.4  ,-2.2  ,5
66  ,2.077e-01   ,-2.2  ,-2.4  ,5
67  ,2.185e-01   ,-2  ,-2.4  ,5
68  ,2.243e-01   ,-1.8  ,-2.4  ,5
69  ,2.257e-01   ,-1.6  ,-2.4  ,5
70  ,2.232e-01   ,-1.4  ,-2.4  ,5
71  ,2.188e-01   ,-1.2  ,-2.4  ,5
72  ,2.135e-01   ,-1  ,-2.4  ,5
73  ,2.077e-01   ,-0.8  ,-2.4  ,5
74  ,2.021e-01   ,-0.6  ,-2.4  ,5
75  ,1.985e-01   ,-0.4  ,-2.4  ,5
76  ,1.976e-01   ,-0.2  ,-2.4  ,5
77  ,1.994e-01   ,-5.8879E-16  ,-2.4  ,5
78  ,2.023e-01   ,0.2  ,-2.4  ,5
79  ,2.043e-01   ,0.4  ,-2.4  ,5
80  ,2.039e-01   ,0.6  ,-2.4  ,5
81  ,1.998e-01   ,0.8  ,-2.4  ,5
82  ,1.915e-01   ,1  ,-2.4  ,5
83  ,1.793e-01   ,1.2  ,-2.4  ,5
84  ,1.641e-01   ,1.4  ,-2.4  ,5
85  ,1.468e-01   ,1.6  ,-2.4  ,5
86  ,1.288e-01   ,1.8  ,-2.4  ,5
87  ,1.125e-01   ,2  ,-2.4  ,5
88  ,1.003e-01   ,2.2  ,-2.4  ,5
89  ,9.773e-02   ,2.4  ,-2.2029  ,5
90  ,1.004e-01   ,2.4  ,-2.0058  ,5
91  ,1.024e-01   ,2.4  ,-1.8087  ,5
92  ,1.043e-01   ,2.4  ,-1.6116  ,5
93  ,1.060e-01   ,2.4  ,-1.4145  ,5
94  ,1.074e-01   ,2.4  ,-1.2175  ,5
95  ,1.083e-01   ,2.4  ,-1.0204  ,5
96  ,1.088e-01   ,2.4  ,-0.82327  ,5
97  ,1.098e-01   ,2.4  ,-0.62618  ,5
98  ,1.106e-01   ,2.4  ,-0.42909  ,5
99  ,1.111e-01   ,2.4  ,-0.232  ,5
100  ,1.106e-01   ,2.4  ,-0.034907  ,5
101  ,1.095e-01   ,2.4  ,0.16218  ,5
102  ,1.078e-01   ,2.4  ,0.35927  ,5
103  ,1.056e-01   ,2.4  ,0.55637  ,5
104  ,1.033e-01   ,2.4  ,0.75346  ,5
105  ,1.003e-01   ,2.4  ,0.95055  ,5
106  ,9.557e-02   ,2.4  ,1.1476  ,5
107  ,8.868e-02   ,2.4  ,1.3447  ,5
108  ,7.919e-02   ,2.4  ,1.5418  ,5
109  ,6.691e-02   ,2.4  ,1.7389  ,5
110  ,5.143e-02   ,2.4  ,1.936  ,5
111  ,2.980e-02   ,2.2665  ,2.2665  ,5
112  ,6.337e-02   ,1.936  ,2.4  ,5
113  ,8.010e-02   ,1.7389  ,2.4  ,5
114  ,9.436e-02   ,1.5418  ,2.4  ,5
115  ,1.058e-01   ,1.3447  ,2.4  ,5
116  ,1.154e-01   ,1.1476  ,2.4  ,5
117  ,1.234e-01   ,0.95055  ,2.4  ,5
118  ,1.304e-01   ,0.75346  ,2.4  ,5
119  ,1.372e-01   ,0.55637  ,2.4  ,5
120  ,1.438e-01   ,0.35927  ,2.4  ,5
121  ,1.502e-01   ,0.16218  ,2.4  ,5
122  ,1.563e-01   ,-0.034907  ,2.4  ,5
123  ,1.621e-01   ,-0.232  ,2.4  ,5
124  ,1.681e-01   ,-0.42909  ,2.4  ,5
125  ,1.741e-01   ,-0.62618  ,2.4  ,5
126  ,1.803e-01   ,-0.82327  ,2.4  ,5
127  ,1.869e-01   ,-1.0204  ,2.4  ,5
128  ,1.933e-01   ,-1.2175  ,2.4  ,5
129  ,1.995e-01   ,-1.4145  ,2.4  ,5
130  ,2.054e-01   ,-1.6116  ,2.4  ,5
131  ,2.108e-01   ,-1.8087  ,2.4  ,5
132  ,2.157e-01   ,-2.0058  ,2.4  ,5
133  ,2.201e-01   ,-2.2029  ,2.4  ,5
294  ,9.785e-02   ,2.5  ,-2.2029  ,4.9
295  ,1.005e-01   ,2.5  ,-2.0058  ,4.9
296  ,1.024e-01   ,2.5  ,-1.8087  ,4.9
297  ,1.043e-01   ,2.5  ,-1.6116  ,4.9
298  ,1.059e-01   ,2.5  ,-1.4145  ,4.9
299  ,1.072e-01   ,2.5  ,-1.2175  ,4.9
300  ,1.083e-01   ,2.5  ,-1.0204  ,4.9
301  ,1.091e-01   ,2.5  ,-0.82327  ,4.9
302  ,1.100e-01   ,2.5  ,-0.62618  ,4.9
303  ,1.107e-01   ,2.5  ,-0.42909  ,4.9
304  ,1.110e-01   ,2.5  ,-0.232  ,4.9
305  ,1.103e-01   ,2.5  ,-0.034907  ,4.9
306  ,1.090e-01   ,2.5  ,0.16218  ,4.9
307  ,1.076e-01   ,2.5  ,0.35927  ,4.9
308  ,1.055e-01   ,2.5  ,0.55637  ,4.9
309  ,1.030e-01   ,2.5  ,0.75346  ,4.9
310  ,1.001e-01   ,2.5  ,0.95055  ,4.9
311  ,9.542e-02   ,2.5  ,1.1476  ,4.9
312  ,8.819e-02   ,2.5  ,1.3447  ,4.9
313  ,7.845e-02   ,2.5  ,1.5418  ,4.9
314  ,6.675e-02   ,2.5  ,1.7389  ,4.9
315  ,5.062e-02   ,2.5  ,1.936  ,4.9
316  ,1.005e-01   ,2.5  ,-2.4  ,4.7
317  ,1.128e-01   ,2.5  ,-2.4  ,4.5
318  ,1.292e-01   ,2.5  ,-2.4  ,4.3
319  ,1.474e-01   ,2.5  ,-2.4  ,4.1
320  ,1.649e-01   ,2.5  ,-2.4  ,3.9
321  ,1.801e-01   ,2.5  ,-2.4  ,3.7
322  ,1.922e-01   ,2.5  ,-2.4  ,3.5
323  ,2.004e-01   ,2.5  ,-2.4  ,3.3
324  ,2.045e-01   ,2.5  ,-2.4  ,3.1
325  ,2.048e-01   ,2.5  ,-2.4  ,2.9
326  ,2.028e-01   ,2.5  ,-2.4  ,2.7
327  ,2.003e-01   ,2.5  ,-2.4  ,2.5
328  ,1.992e-01   ,2.5  ,-2.4  ,2.3
329  ,2.005e-01   ,2.5  ,-2.4  ,2.1
330  ,2.043e-01   ,2.5  ,-2.4  ,1.9
331  ,2.097e-01   ,2.5  ,-2.4  ,1.7
332  ,2.152e-01   ,2.5  ,-2.4  ,1.5
333  ,2.199e-01   ,2.5  ,-2.4  ,1.3
