Date:  12:50, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 6   time : 31.4708 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,1.676e+10   ,2.5  ,2.1331  ,4.9
2  ,2.502e+10   ,2.4577  ,2.1908  ,4.9577
3  ,3.675e+10   ,2.4894  ,2.1331  ,4.9447
4  ,1.656e+10   ,2.1331  ,2.5  ,4.9
5  ,3.648e+10   ,2.1331  ,2.4894  ,4.9447
6  ,2.269e+10   ,2.1908  ,2.4577  ,4.9577
7  ,1.907e+08   ,-2.4  ,2.4  ,5
8  ,1.248e+08   ,-2.4  ,-2.4  ,5
9  ,1.138e+08   ,2.4  ,-2.4  ,5
10  ,1.438e+10   ,2.4  ,2.1331  ,5
11  ,1.626e+10   ,2.1331  ,2.4  ,5
12  ,1.286e+08   ,2.5  ,-2.4  ,4.9
13  ,1.091e+08   ,2.5  ,-2.4  ,0.1
14  ,1.815e+08   ,2.5  ,2.4  ,0.1
15  ,1.726e+10   ,2.5  ,2.4  ,4.6331
16  ,1.853e+08   ,2.4  ,2.5  ,0.1
17  ,1.096e+08   ,-2.4  ,2.5  ,0.1
18  ,1.588e+08   ,-2.4  ,2.5  ,4.9
19  ,1.712e+10   ,2.4  ,2.5  ,4.6331
20  ,1.272e+08   ,-2.5  ,2.4  ,0.1
21  ,1.507e+06   ,-2.5  ,-2.4  ,0.1
22  ,9.025e+07   ,-2.5  ,-2.4  ,4.9
23  ,1.107e+08   ,-2.5  ,2.4  ,4.9
24  ,2.120e+06   ,-2.3  ,-2.5  ,0.2
25  ,2.051e+08   ,-2.3  ,-2.5  ,4.8
26  ,2.289e+08   ,2.3  ,-2.5  ,4.8
27  ,1.835e+08   ,2.3  ,-2.5  ,0.2
28  ,1.561e+08   ,-2.4  ,-2.5  ,4.9
29  ,1.251e+08   ,2.4  ,-2.5  ,4.9
30  ,2.249e+06   ,-2.4  ,-2.5  ,0.1
31  ,1.244e+08   ,2.4  ,-2.5  ,0.1
32  ,7.532e+07   ,2.4  ,-2.4  ,0
33  ,1.702e+08   ,2.4  ,2.4  ,0
34  ,1.397e+06   ,-2.4  ,-2.4  ,0
35  ,1.287e+08   ,-2.4  ,2.4  ,0
36  ,3.013e+10   ,2.4577  ,2.4577  ,4.6908
37  ,2.114e+08   ,-2.3  ,2.3  ,4.8
38  ,1.188e+10   ,2.1599  ,2.3  ,4.8
39  ,1.175e+10   ,2.3  ,2.1599  ,4.8
40  ,1.202e+10   ,2.3  ,2.3  ,4.6599
41  ,2.100e+08   ,2.3  ,2.3  ,0.2
42  ,2.306e+08   ,-2.3  ,2.3  ,0.2
43  ,2.136e+08   ,-2.4  ,2.2  ,5
44  ,3.147e+08   ,-2.4  ,2  ,5
45  ,2.544e+08   ,-2.4  ,1.8  ,5
46  ,2.501e+08   ,-2.4  ,1.6  ,5
47  ,2.440e+08   ,-2.4  ,1.4  ,5
48  ,2.869e+08   ,-2.4  ,1.2  ,5
49  ,2.989e+08   ,-2.4  ,1  ,5
50  ,4.307e+08   ,-2.4  ,0.8  ,5
51  ,3.649e+08   ,-2.4  ,0.6  ,5
52  ,2.981e+08   ,-2.4  ,0.4  ,5
53  ,2.858e+08   ,-2.4  ,0.2  ,5
54  ,2.129e+08   ,-2.4  ,5.8879E-16  ,5
55  ,2.141e+08   ,-2.4  ,-0.2  ,5
56  ,2.798e+08   ,-2.4  ,-0.4  ,5
57  ,3.654e+08   ,-2.4  ,-0.6  ,5
58  ,4.000e+08   ,-2.4  ,-0.8  ,5
59  ,4.009e+08   ,-2.4  ,-1  ,5
60  ,3.077e+08   ,-2.4  ,-1.2  ,5
61  ,2.415e+08   ,-2.4  ,-1.4  ,5
62  ,2.002e+08   ,-2.4  ,-1.6  ,5
63  ,2.345e+08   ,-2.4  ,-1.8  ,5
64  ,2.547e+08   ,-2.4  ,-2  ,5
65  ,2.153e+08   ,-2.4  ,-2.2  ,5
66  ,1.217e+08   ,-2.2  ,-2.4  ,5
67  ,2.448e+08   ,-2  ,-2.4  ,5
68  ,3.395e+08   ,-1.8  ,-2.4  ,5
69  ,3.590e+08   ,-1.6  ,-2.4  ,5
70  ,3.963e+08   ,-1.4  ,-2.4  ,5
71  ,4.108e+08   ,-1.2  ,-2.4  ,5
72  ,3.864e+08   ,-1  ,-2.4  ,5
73  ,3.730e+08   ,-0.8  ,-2.4  ,5
74  ,3.258e+08   ,-0.6  ,-2.4  ,5
75  ,2.619e+08   ,-0.4  ,-2.4  ,5
76  ,1.665e+08   ,-0.2  ,-2.4  ,5
77  ,1.907e+08   ,-5.8879E-16  ,-2.4  ,5
78  ,2.833e+08   ,0.2  ,-2.4  ,5
79  ,3.504e+08   ,0.4  ,-2.4  ,5
80  ,3.926e+08   ,0.6  ,-2.4  ,5
81  ,4.095e+08   ,0.8  ,-2.4  ,5
82  ,3.420e+08   ,1  ,-2.4  ,5
83  ,2.744e+08   ,1.2  ,-2.4  ,5
84  ,2.220e+08   ,1.4  ,-2.4  ,5
85  ,3.538e+08   ,1.6  ,-2.4  ,5
86  ,4.048e+08   ,1.8  ,-2.4  ,5
87  ,2.845e+08   ,2  ,-2.4  ,5
88  ,7.191e+07   ,2.2  ,-2.4  ,5
89  ,1.541e+08   ,2.4  ,-2.2029  ,5
90  ,1.952e+08   ,2.4  ,-2.0058  ,5
91  ,1.563e+08   ,2.4  ,-1.8087  ,5
92  ,2.969e+08   ,2.4  ,-1.6116  ,5
93  ,4.435e+08   ,2.4  ,-1.4145  ,5
94  ,6.216e+08   ,2.4  ,-1.2175  ,5
95  ,2.863e+08   ,2.4  ,-1.0204  ,5
96  ,3.347e+08   ,2.4  ,-0.82327  ,5
97  ,5.557e+08   ,2.4  ,-0.62618  ,5
98  ,9.351e+08   ,2.4  ,-0.42909  ,5
99  ,7.685e+08   ,2.4  ,-0.232  ,5
100  ,7.347e+08   ,2.4  ,-0.034907  ,5
101  ,9.452e+08   ,2.4  ,0.16218  ,5
102  ,1.294e+09   ,2.4  ,0.35927  ,5
103  ,2.013e+09   ,2.4  ,0.55637  ,5
104  ,2.590e+09   ,2.4  ,0.75346  ,5
105  ,2.171e+09   ,2.4  ,0.95055  ,5
106  ,2.026e+09   ,2.4  ,1.1476  ,5
107  ,2.848e+09   ,2.4  ,1.3447  ,5
108  ,4.037e+09   ,2.4  ,1.5418  ,5
109  ,5.330e+09   ,2.4  ,1.7389  ,5
110  ,9.543e+09   ,2.4  ,1.936  ,5
111  ,1.275e+10   ,2.2665  ,2.2665  ,5
112  ,9.606e+09   ,1.936  ,2.4  ,5
113  ,4.894e+09   ,1.7389  ,2.4  ,5
114  ,3.718e+09   ,1.5418  ,2.4  ,5
115  ,2.584e+09   ,1.3447  ,2.4  ,5
116  ,1.907e+09   ,1.1476  ,2.4  ,5
117  ,1.857e+09   ,0.95055  ,2.4  ,5
118  ,2.731e+09   ,0.75346  ,2.4  ,5
119  ,2.274e+09   ,0.55637  ,2.4  ,5
120  ,1.682e+09   ,0.35927  ,2.4  ,5
121  ,1.334e+09   ,0.16218  ,2.4  ,5
122  ,1.105e+09   ,-0.034907  ,2.4  ,5
123  ,1.055e+09   ,-0.232  ,2.4  ,5
124  ,5.428e+08   ,-0.42909  ,2.4  ,5
125  ,3.743e+08   ,-0.62618  ,2.4  ,5
126  ,2.031e+08   ,-0.82327  ,2.4  ,5
127  ,1.206e+08   ,-1.0204  ,2.4  ,5
128  ,1.396e+08   ,-1.2175  ,2.4  ,5
